|------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                                                                   COUNTS NUMBER OF INVOCATIONS                                                                   |
|------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                                                          LABEL                                                           | COUNT  | DEPTH  |   METRIC   |  SUM   |
|--------------------------------------------------------------------------------------------------------------------------|--------|--------|------------|--------|
| |00>>> __libc_start_main                                                                                                 | 137314 |      0 | trip_count | 137314 |
| |05>>> pthread_condattr_setpshared                                                                                       | 137696 |      0 | trip_count | 137696 |
| |05>>> |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<cha... | 137696 |      1 | trip_count | 137696 |
| |05>>>   |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<c... | 137696 |      2 | trip_count | 137696 |
| |05>>>     |_omp_fulfill_event                                                                                           | 137681 |      3 | trip_count | 137681 |
| |05>>>       |___sigaction                                                                                               | 137681 |      4 | trip_count | 137681 |
| |05>>>     |___sigaction                                                                                                 |     15 |      3 | trip_count |     15 |
| |06>>> pthread_condattr_setpshared                                                                                       | 139083 |      0 | trip_count | 139083 |
| |06>>> |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<cha... | 139083 |      1 | trip_count | 139083 |
| |06>>>   |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<c... | 139083 |      2 | trip_count | 139083 |
| |06>>>     |_omp_fulfill_event                                                                                           | 139075 |      3 | trip_count | 139075 |
| |06>>>       |___sigaction                                                                                               | 139074 |      4 | trip_count | 139074 |
| |06>>>       |_lin_solve2(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> ... |      1 |      4 | trip_count |      1 |
| |06>>>         |___sigaction                                                                                             |      1 |      5 | trip_count |      1 |
| |06>>>     |___sigaction                                                                                                 |      8 |      3 | trip_count |      8 |
| |07>>> pthread_condattr_setpshared                                                                                       | 138867 |      0 | trip_count | 138867 |
| |07>>> |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<cha... | 138867 |      1 | trip_count | 138867 |
